"","Team","avgScore03","avgScore04","avgScore05","avgScore06","avgScore07","avgScore08","avgScore09","avgScore10","avgScore11","avgScore12","avgScore13","avgScore14","avgScore15","avgScore16","avgFG03","avgFG04","avgFG05","avgFG06","avgFG07","avgFG08","avgFG09","avgFG10","avgFG11","avgFG12","avgFG13","avgFG14","avgFG15","avgFG16","avgTP03","avgTP04","avgTP05","avgTP06","avgTP07","avgTP08","avgTP09","avgTP10","avgTP11","avgTP12","avgTP13","avgTP14","avgTP15","avgTP16","avgFT03","avgFT04","avgFT05","avgFT06","avgFT07","avgFT08","avgFT09","avgFT10","avgFT11","avgFT12","avgFT13","avgFT14","avgFT15","avgFT16","avgRB03","avgRB04","avgRB05","avgRB06","avgRB07","avgRB08","avgRB09","avgRB10","avgRB11","avgRB12","avgRB13","avgRB14","avgRB15","avgRB16","avgASS03","avgASS04","avgASS05","avgASS06","avgASS07","avgASS08","avgASS09","avgASS10","avgASS11","avgASS12","avgASS13","avgASS14","avgASS15","avgASS16","avgTO03","avgTO04","avgTO05","avgTO06","avgTO07","avgTO08","avgTO09","avgTO10","avgTO11","avgTO12","avgTO13","avgTO14","avgTO15","avgTO16","avgSTL03","avgSTL04","avgSTL05","avgSTL06","avgSTL07","avgSTL08","avgSTL09","avgSTL10","avgSTL11","avgSTL12","avgSTL13","avgSTL14","avgSTL15","avgSTL16","avgBL03","avgBL04","avgBL05","avgBL06","avgBL07","avgBL08","avgBL09","avgBL10","avgBL11","avgBL12","avgBL13","avgBL14","avgBL15","avgBL16","avgPF03","avgPF04","avgPF05","avgPF06","avgPF07","avgPF08","avgPF09","avgPF10","avgPF11","avgPF12","avgPF13","avgPF14","avgPF15","avgPF16"
"1","Abilene Chr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1428571428571,61,69.8518518518518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3333333333333,21.4285714285714,23.8148148148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667,7.25,6.85185185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8095238095238,10.8928571428571,15.3703703703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57142857142857,5.10714285714286,14.8518518518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11.8571428571429,12.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12.8214285714286,13.4074074074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76190476190476,5.92857142857143,6.74074074074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47619047619048,1.17857142857143,2.44444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5714285714286,20.6071428571429,22.3703703703704
"2","Air Force",57.25,60.1785714285714,61.2413793103448,63.5,68.5,57.5714285714286,57.4137931034483,55.6206896551724,64.25,60.6666666666667,68.9285714285714,64.5714285714286,64.7241379310345,67.4333333333333,19.1428571428571,20.2857142857143,21.4137931034483,21.9285714285714,22.8,18.5357142857143,19.1724137931034,20,22.4285714285714,20.8888888888889,24.3928571428571,22.0714285714286,23.6206896551724,23.2333333333333,7.82142857142857,8.46428571428571,8.89655172413793,8.60714285714286,9.06666666666667,7.10714285714286,6.51724137931035,5.62068965517241,6.67857142857143,6.25925925925926,8.32142857142857,7.14285714285714,7.17241379310345,6.3,11.1428571428571,11.1428571428571,9.51724137931035,11.0357142857143,13.8333333333333,13.3928571428571,12.551724137931,10,12.7142857142857,12.6296296296296,11.8214285714286,13.2857142857143,10.3103448275862,14.6666666666667,6.14285714285714,30.8571428571429,22.6206896551724,29.6071428571429,38.8,21.25,4.6551724137931,12.8620689655172,18.9642857142857,10.5185185185185,24.0357142857143,19.6785714285714,11.4827586206897,22.2,13,13.25,13.6551724137931,14.1785714285714,15.0333333333333,11.9285714285714,11.8965517241379,12.2758620689655,15.4285714285714,13.3703703703704,15.5,13.3928571428571,14.8965517241379,13.0333333333333,11.4285714285714,10.7857142857143,10.0689655172414,10.9285714285714,10.1666666666667,12.6785714285714,13.551724137931,12.7931034482759,11.9285714285714,13,11.9285714285714,13.4642857142857,11.7241379310345,13.2,5.96428571428571,7.78571428571429,8.79310344827586,8,6.26666666666667,6.17857142857143,5.06896551724138,4.82758620689655,6.21428571428571,6.25925925925926,6.21428571428571,5.28571428571429,6.31034482758621,6.1,1.78571428571429,2.35714285714286,1.72413793103448,2.10714285714286,1.46666666666667,1.78571428571429,2.17241379310345,1.51724137931034,2.53571428571429,2.96296296296296,1.71428571428571,2.96428571428571,1.96551724137931,1.66666666666667,18.75,16.6428571428571,16.4827586206897,15.3928571428571,15.1666666666667,17.1785714285714,17.7931034482759,17.551724137931,17.4285714285714,17,17.6071428571429,18.8928571428571,17.8275862068966,19.3333333333333
"3","Akron",78.7777777777778,71.75,71.6071428571429,71.4666666666667,74.625,71.2424242424242,66.4117647058823,71.030303030303,69.9705882352941,71.46875,71.9354838709677,67.9090909090909,67.3529411764706,76.3333333333333,27.1481481481481,24.8571428571429,24.7857142857143,24.3333333333333,27.03125,23.8484848484848,22.5882352941176,25.0909090909091,24.5882352941176,25.09375,25.7741935483871,23.5454545454545,23.1470588235294,25.9393939393939,5.44444444444444,6.17857142857143,8.14285714285714,7.5,7.21875,8.36363636363636,7.11764705882353,6.60606060606061,7.88235294117647,5.90625,6.93548387096774,7.09090909090909,9.41176470588235,11.7878787878788,19.037037037037,15.8571428571429,13.8928571428571,15.3,13.34375,15.1818181818182,14.1176470588235,14.2424242424242,12.9117647058824,15.375,13.4516129032258,13.7272727272727,11.6470588235294,12.6666666666667,30.962962962963,32.5,33.0714285714286,42.2333333333333,44,40.3939393939394,31.0588235294118,43.3030303030303,32.6764705882353,37.71875,55.2903225806452,38.969696969697,25.7647058823529,43.9090909090909,15.2222222222222,15.1071428571429,16.1071428571429,15.6333333333333,15.03125,13.4545454545455,12.1176470588235,13.5151515151515,14.3529411764706,13.71875,15,11.1515151515152,12.4117647058824,14.5151515151515,12.6296296296296,14.6071428571429,13.3571428571429,12.5666666666667,12.4375,12.7575757575758,13.7352941176471,13.6666666666667,12.0294117647059,14.34375,13.741935483871,13.2121212121212,12.1764705882353,10.8181818181818,7.25925925925926,7.39285714285714,6.75,6.03333333333333,7.71875,7.06060606060606,7.64705882352941,6.24242424242424,6.44117647058824,7.3125,7.12903225806452,6.60606060606061,6.26470588235294,5.33333333333333,2.33333333333333,2.53571428571429,3.85714285714286,2.96666666666667,4.375,2.78787878787879,2.26470588235294,3.18181818181818,3.41176470588235,4.3125,5.58064516129032,4.21212121212121,4.47058823529412,3.84848484848485,19.8518518518519,19.4642857142857,18.8214285714286,18.9666666666667,18.75,19.5757575757576,20.6176470588235,19.8787878787879,19.2352941176471,18.3125,18,17.8181818181818,18.8529411764706,17.8484848484848
"4","Alabama",69.2857142857143,72.2068965517241,75.4333333333333,69.9655172413793,73.6129032258064,75.2727272727273,72.8333333333333,68.5,66.65625,64.9375,62.59375,66.7096774193548,66.6451612903226,66.84375,24.0357142857143,24.8965517241379,25.3666666666667,24.5172413793103,26.2258064516129,27.7878787878788,25.9666666666667,24.71875,24.875,23.625,22.3125,22.7096774193548,22.0322580645161,22.53125,6.35714285714286,7.13793103448276,7.63333333333333,5.51724137931035,6.45161290322581,7.03030303030303,4.83333333333333,5.46875,4.09375,4.03125,5.5,5.74193548387097,6.58064516129032,7.84375,14.8571428571429,15.2758620689655,17.0666666666667,15.4137931034483,14.7096774193548,12.6666666666667,16.0666666666667,13.59375,12.8125,13.65625,12.46875,15.5483870967742,16,13.9375,38.8571428571429,37.0689655172414,44.8666666666667,39.5172413793103,35.7741935483871,32.4242424242424,34.6333333333333,36.75,41.46875,31.40625,34.5625,25.4193548387097,33.258064516129,31.1875,12.1071428571429,11.8620689655172,13.8333333333333,12.2068965517241,13.1290322580645,15.6060606060606,11.1666666666667,13.40625,12.40625,12.28125,10.46875,10.7741935483871,10.3548387096774,10.5625,13.2857142857143,13.2758620689655,12.6666666666667,13.5172413793103,13.6774193548387,13,14.8,12.8125,14.1875,12.9375,12.46875,11.8387096774194,12.0967741935484,13.3125,6.60714285714286,6.44827586206897,5.2,6.3448275862069,5.58064516129032,7.45454545454545,7,7.78125,9.25,7.3125,8.21875,6.74193548387097,6.29032258064516,5.625,3.78571428571429,3.10344827586207,4.43333333333333,5.03448275862069,5.25806451612903,4.48484848484848,4.66666666666667,3.96875,5.21875,4.15625,4.46875,4.2258064516129,3.61290322580645,5.28125,18.0357142857143,18.3448275862069,14.7333333333333,13.8275862068966,14,16.7575757575758,17.3333333333333,18.21875,18.40625,18.40625,17.5,19.1612903225806,19.2903225806452,19.3125
"5","Alabama A&M",71.7692307692308,69.7931034482759,69.0689655172414,73.9565217391304,60.0384615384615,64.1923076923077,64,63.8260869565217,62.8,61.1153846153846,61.5862068965517,63.8214285714286,61.2857142857143,67.1071428571429,24.3846153846154,23.6206896551724,23.6551724137931,25.5217391304348,20.7692307692308,21.5,22.2916666666667,21.1739130434783,22.16,21.6923076923077,21.9310344827586,21.5357142857143,20.6785714285714,23.25,7.57692307692308,6.20689655172414,6.10344827586207,6.26086956521739,4.73076923076923,6,4.5,3.82608695652174,4.28,5.26923076923077,4.82758620689655,6.10714285714286,5.75,5.89285714285714,15.4230769230769,16.3448275862069,15.6551724137931,16.6521739130435,13.7692307692308,15.1923076923077,14.9166666666667,17.6521739130435,14.2,12.4615384615385,12.8965517241379,14.6428571428571,14.1785714285714,14.7142857142857,9.80769230769231,27.9310344827586,44.6206896551724,38.9130434782609,17.4615384615385,31.5,23.75,19.3478260869565,31.68,12.4615384615385,1.24137931034483,24.6071428571429,1.10714285714286,18.5714285714286,14.5384615384615,12.3448275862069,13.1379310344828,12.1304347826087,10.1153846153846,9.61538461538461,10.6666666666667,9.69565217391304,11.6,10.6153846153846,11.3793103448276,12.5357142857143,12.0357142857143,12.6428571428571,18.6538461538462,16.1724137931034,15.2413793103448,15.6521739130435,17.8461538461538,16.0384615384615,16.2083333333333,15.9130434782609,15.88,16.2692307692308,14.1724137931034,13.25,14.1428571428571,11.75,9.30769230769231,7.20689655172414,10.6206896551724,8.21739130434783,6.73076923076923,7.19230769230769,8.04166666666667,9.39130434782609,8.56,6.15384615384615,5.48275862068965,6.03571428571429,5.64285714285714,5.60714285714286,2.07692307692308,2.55172413793103,3.86206896551724,5.73913043478261,7.65384615384615,5.65384615384615,3.45833333333333,5.21739130434783,5.28,4,3.3448275862069,4.07142857142857,2.35714285714286,2.14285714285714,20.2307692307692,21.5172413793103,19.3448275862069,19.695652173913,20.3076923076923,18.8076923076923,20.3333333333333,20.6521739130435,20,22.4615384615385,17.448275862069,21.9642857142857,19.75,19.3571428571429
"6","Alabama St",63.6071428571429,61.4333333333333,57.9666666666667,66.1666666666667,60.2068965517241,71,69.4827586206897,64.0357142857143,61.5625,57.7241379310345,61.4838709677419,69.8928571428571,70.7037037037037,70.0689655172414,23.4285714285714,20.5666666666667,19.4333333333333,22.9666666666667,19.9655172413793,26.2222222222222,25.551724137931,21.2142857142857,20.90625,20.4827586206897,22.741935483871,24.1428571428571,25.7777777777778,24.7931034482759,6.10714285714286,5.53333333333333,4.53333333333333,5.8,5.82758620689655,6.37037037037037,5.68965517241379,5.92857142857143,4.8125,6,5.25806451612903,5.32142857142857,5.7037037037037,6.93103448275862,10.6428571428571,14.7666666666667,14.5666666666667,14.4333333333333,14.448275862069,12.1851851851852,12.6896551724138,15.6785714285714,14.9375,10.7586206896552,10.741935483871,16.2857142857143,13.4444444444444,13.551724137931,21.4642857142857,28.3333333333333,22.9666666666667,28.7666666666667,16.0344827586207,37.0740740740741,48,23.2857142857143,27.75,21.551724137931,1.32258064516129,33.4285714285714,6.85185185185185,27.6551724137931,11.6785714285714,10.2666666666667,10.3666666666667,10.2666666666667,9.3448275862069,14.4814814814815,14,12.6428571428571,11.625,11.1379310344828,11.4838709677419,12.0714285714286,13.4074074074074,11.8275862068966,17.0357142857143,17.2,15.7666666666667,15.8666666666667,14.1034482758621,13.2222222222222,13.7586206896552,16.2142857142857,15.71875,14.9655172413793,14.9032258064516,12.1071428571429,13.7037037037037,12.0689655172414,8.35714285714286,7.06666666666667,6.7,5.96666666666667,6.17241379310345,5.81481481481481,5.75862068965517,7.46428571428571,7.3125,7.48275862068965,6.16129032258065,6.67857142857143,6.07407407407407,5.72413793103448,3.14285714285714,3.13333333333333,2,2.76666666666667,2.72413793103448,3.77777777777778,4.75862068965517,4.17857142857143,4.5625,3.03448275862069,3.2258064516129,3.53571428571429,4.18518518518519,3.79310344827586,18.1785714285714,18.7,17.4666666666667,21.3333333333333,20.1724137931034,19.1111111111111,17.6206896551724,20.8214285714286,22.3125,19.8620689655172,18.741935483871,18.4285714285714,18,21.3448275862069
"7","Albany NY",65.9285714285714,57.8928571428571,67.3571428571429,68.8709677419355,68.25,68.2666666666667,64,62.71875,62.90625,71.9393939393939,64.4117647058823,66.03125,65.5,74.6129032258064,24.0357142857143,21.3571428571429,23,23.1935483870968,24.25,24.0666666666667,23.0645161290323,22.1875,22.625,24.7272727272727,21.8235294117647,22.4375,22.0625,25.1935483870968,7.92857142857143,4.82142857142857,6.21428571428571,7.06451612903226,6.84375,5.73333333333333,4.19354838709677,6.0625,7.4375,7.06060606060606,6,4.90625,6.15625,5.70967741935484,9.92857142857143,10.3571428571429,15.1428571428571,15.4193548387097,12.90625,14.4,13.6774193548387,12.28125,10.21875,15.4242424242424,14.7647058823529,16.25,15.21875,18.5161290322581,17.2857142857143,12.1071428571429,23.8928571428571,36.9677419354839,42.53125,26.3333333333333,30.6774193548387,7.21875,20.6875,12.1818181818182,40.9411764705882,33.34375,45.65625,50.8387096774194,11.9285714285714,11.2142857142857,13.0714285714286,12.6129032258065,13.125,12.3333333333333,11.8387096774194,11.875,11.59375,12.3030303030303,11.1764705882353,11.0625,10.4375,12.4516129032258,12.5714285714286,15.75,14.7857142857143,14.1612903225806,13.375,14.2666666666667,15.2903225806452,16.15625,12.84375,12.5151515151515,13.3823529411765,12.625,11.6875,12.7096774193548,6.85714285714286,6.71428571428571,8.03571428571429,6.38709677419355,5.90625,5.33333333333333,5.16129032258065,5.84375,4.6875,5.51515151515152,5.44117647058824,5.53125,5.65625,6.48387096774194,2.03571428571429,2.25,2.42857142857143,2.58064516129032,2.4375,2.43333333333333,2.03225806451613,3.03125,2.8125,2.81818181818182,2.02941176470588,3.0625,1.625,1.58064516129032,15.8928571428571,16.9285714285714,17.2857142857143,19.0967741935484,19.21875,20.4666666666667,20.1935483870968,18.8125,15.78125,16.969696969697,16.0294117647059,17.25,16.5,17.5806451612903
"8","Alcorn St",69.0909090909091,63.9655172413793,57.1785714285714,66,66,67.0344827586207,69.2857142857143,60.6451612903226,65.6428571428571,60,59.125,61.9285714285714,63.3666666666667,66.5714285714286,24.9393939393939,22.2758620689655,19.9642857142857,23.2857142857143,23.0344827586207,23.5172413793103,24.0357142857143,21,21.9285714285714,21.25,20.65625,21.5714285714286,22.2,22.8571428571429,5.21212121212121,5.58620689655172,4.71428571428571,6.07142857142857,4.6551724137931,6,6.39285714285714,4.35483870967742,4.14285714285714,4,4.8125,4.42857142857143,4.86666666666667,6,14,13.8275862068966,12.5357142857143,13.3571428571429,15.2758620689655,14,14.8214285714286,14.2903225806452,17.6428571428571,13.5,13,14.3571428571429,14.1,14.8571428571429,23.4242424242424,22.1379310344828,14.2857142857143,20.25,22.8620689655172,9.89655172413793,9.75,4.32258064516129,11.3928571428571,14.9642857142857,2.5,15.8928571428571,0.933333333333333,30,13.8484848484848,11.3448275862069,11.0357142857143,12.0357142857143,9.06896551724138,9.51724137931035,10.6071428571429,8.67741935483871,9.10714285714286,9.28571428571429,8.9375,8.92857142857143,8.7,9.07142857142857,18.4545454545455,19.3103448275862,19.8571428571429,18.2857142857143,18.7586206896552,17.1724137931034,15.0714285714286,20.7096774193548,16.8928571428571,15.9642857142857,15.25,11.6071428571429,11.6666666666667,14.3571428571429,8.18181818181818,6.17241379310345,7.46428571428571,6.96428571428571,6.51724137931035,6.48275862068965,8.39285714285714,6.90322580645161,7.78571428571429,6.60714285714286,6.4375,5.42857142857143,5.86666666666667,4.46428571428571,3.51515151515152,2.13793103448276,3.46428571428571,3.03571428571429,2.62068965517241,1.55172413793103,1.71428571428571,3.16129032258065,3.67857142857143,3.32142857142857,3.8125,3.71428571428571,2.7,3.89285714285714,19.6666666666667,19.448275862069,22.8928571428571,21.8928571428571,24.0689655172414,21.8965517241379,19.4642857142857,21.6129032258065,21.7857142857143,19.6428571428571,19.9375,18.8928571428571,17.9666666666667,18.4285714285714
"9","Alliant Intl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","American Univ",66.3666666666667,67.4838709677419,67.1785714285714,63.7931034482759,64.8333333333333,65.09375,64.4516129032258,62.6129032258064,66.1612903225806,64.4516129032258,57.8333333333333,63.9375,58.7272727272727,57.5806451612903,23.1666666666667,23.4193548387097,24.2857142857143,22.5862068965517,22.6,21.15625,23.3548387096774,21.9677419354839,23.0967741935484,22.2258064516129,20.5333333333333,23.03125,20.6969696969697,20.3548387096774,8.76666666666667,6.64516129032258,6.35714285714286,5.68965517241379,5.73333333333333,7.84375,7.09677419354839,5.93548387096774,6.06451612903226,7.09677419354839,5.9,6.34375,6.45454545454545,6.29032258064516,11.2666666666667,14,12.25,12.9310344827586,13.9,14.9375,10.6451612903226,12.741935483871,13.9032258064516,12.9032258064516,10.8666666666667,11.53125,10.8787878787879,10.5806451612903,34.6,37.6774193548387,15.0714285714286,28.2068965517241,32.7,32.75,44.258064516129,21.8064516129032,33.5483870967742,29.7741935483871,12.2,31.84375,26.0909090909091,23.1612903225806,14.2333333333333,13.258064516129,12.8928571428571,13.0689655172414,13.4666666666667,11.90625,13.0645161290323,14.4193548387097,13.8709677419355,12.6129032258065,11.6,15.125,12.3636363636364,11.2258064516129,13.1666666666667,14.2258064516129,15,15.5862068965517,13.8,13.625,13.2258064516129,14.7741935483871,11.1612903225806,11.0967741935484,12.1333333333333,13.96875,11.2121212121212,13.8064516129032,6.4,7.74193548387097,6.57142857142857,6.55172413793103,5.76666666666667,4.59375,5.41935483870968,3.51612903225806,4.09677419354839,4.45161290322581,3.36666666666667,6.03125,5.93939393939394,5.67741935483871,1.73333333333333,2.32258064516129,2.78571428571429,3.06896551724138,2.36666666666667,2.625,2.51612903225806,2.61290322580645,2.7741935483871,2.74193548387097,2.5,3.4375,2.54545454545455,2.2258064516129,18.1333333333333,18.1935483870968,17.9285714285714,18.8965517241379,18.7333333333333,17.53125,17.9354838709677,19.0322580645161,18,17.1935483870968,14.3666666666667,17.21875,14.6666666666667,18.2903225806452
