"","Season","Team","GP"
"1",1985,"Iowa",1
"2",1985,"Purdue",1
"3",1985,"Lehigh",1
"4",1985,"USC",1
"5",1985,"Ohio",1
"6",1985,"Washington",1
"7",1985,"Pittsburgh",1
"8",1985,"Iona",1
"9",1985,"MTSU",1
"10",1985,"Oregon St",1
"11",1985,"Iowa St",1
"12",1985,"NC A&T",1
"13",1985,"Old Dominion",1
"14",1985,"Southern Univ",1
"15",1985,"Virginia Tech",1
"16",1985,"San Diego St",1
"17",1985,"Arizona",1
"18",1985,"Texas Tech",1
"19",1985,"Pepperdine",1
"20",1985,"Wichita St",1
"21",1985,"Mercer",1
"22",1985,"Northeastern",1
"23",1985,"Miami OH",1
"24",1985,"Penn",1
"25",1985,"F Dickinson",1
"26",1985,"LSU",1
"27",1985,"Nevada",1
"28",1985,"DePaul",1
"29",1985,"Michigan St",1
"30",1985,"Tulsa",1
"31",1985,"Marshall",1
"32",1985,"Dayton",1
"33",1985,"Kansas",2
"34",1985,"Temple",2
"35",1985,"UNLV",2
"36",1985,"Ohio St",2
"37",1985,"SMU",2
"38",1985,"Notre Dame",2
"39",1985,"Illinois St",2
"40",1985,"Arkansas",2
"41",1985,"VA Commonwealth",2
"42",1985,"Duke",2
"43",1985,"Syracuse",2
"44",1985,"Georgia",2
"45",1985,"Navy",2
"46",1985,"UAB",2
"47",1985,"UTEP",2
"48",1985,"Michigan",2
"49",1985,"Loyola-Chicago",3
"50",1985,"Illinois",3
"51",1985,"Boston College",3
"52",1985,"Louisiana Tech",3
"53",1985,"Alabama",3
"54",1985,"Auburn",3
"55",1985,"Kentucky",3
"56",1985,"Maryland",3
"57",1985,"Georgia Tech",4
"58",1985,"Oklahoma",4
"59",1985,"NC State",4
"60",1985,"North Carolina",4
"61",1985,"St John's",5
"62",1985,"Memphis",5
"63",1985,"Georgetown",6
"64",1985,"Villanova",6
"65",1986,"UTEP",1
"66",1986,"Virginia",1
"67",1986,"MS Valley St",1
"68",1986,"Texas Tech",1
"69",1986,"Marist",1
"70",1986,"NC A&T",1
"71",1986,"Drexel",1
"72",1986,"Purdue",1
"73",1986,"Ball St",1
"74",1986,"Washington",1
"75",1986,"Utah",1
"76",1986,"Northeastern",1
"77",1986,"West Virginia",1
"78",1986,"Jacksonville",1
"79",1986,"Missouri",1
"80",1986,"Virginia Tech",1
"81",1986,"Xavier",1
"82",1986,"Notre Dame",1
"83",1986,"Arizona",1
"84",1986,"Indiana",1
"85",1986,"Fairfield",1
"86",1986,"Miami OH",1
"87",1986,"Davidson",1
"88",1986,"Pepperdine",1
"89",1986,"Akron",1
"90",1986,"Tulsa",1
"91",1986,"Iowa",1
"92",1986,"Montana St",1
"93",1986,"Richmond",1
"94",1986,"Brown",1
"95",1986,"ULM",1
"96",1986,"Nebraska",1
"97",1986,"Oklahoma",2
"98",1986,"Old Dominion",2
"99",1986,"Villanova",2
"100",1986,"Temple",2
"101",1986,"Bradley",2
"102",1986,"Memphis",2
"103",1986,"Georgetown",2
"104",1986,"UAB",2
"105",1986,"Illinois",2
"106",1986,"St John's",2
"107",1986,"St Joseph's PA",2
"108",1986,"Michigan",2
"109",1986,"WKU",2
"110",1986,"Syracuse",2
"111",1986,"Ark Little Rock",2
"112",1986,"Maryland",2
"113",1986,"UNLV",3
"114",1986,"Alabama",3
"115",1986,"North Carolina",3
"116",1986,"Georgia Tech",3
"117",1986,"DePaul",3
"118",1986,"Michigan St",3
"119",1986,"Cleveland St",3
"120",1986,"Iowa St",3
"121",1986,"Auburn",4
"122",1986,"Kentucky",4
"123",1986,"Navy",4
"124",1986,"NC State",4
"125",1986,"Kansas",5
"126",1986,"LSU",5
"127",1986,"Duke",6
"128",1986,"Louisville",6
"129",1987,"NC A&T",1
"130",1987,"San Diego",1
"131",1987,"Illinois",1
"132",1987,"Texas A&M",1
"133",1987,"Fairfield",1
"134",1987,"Georgia",1
"135",1987,"Navy",1
"136",1987,"BYU",1
"137",1987,"Penn",1
"138",1987,"MTSU",1
"139",1987,"UAB",1
"140",1987,"Marshall",1
"141",1987,"C Michigan",1
"142",1987,"Idaho St",1
"143",1987,"Virginia",1
"144",1987,"Missouri",1
"145",1987,"Louisiana Tech",1
"146",1987,"NC State",1
"147",1987,"Bucknell",1
"148",1987,"Santa Clara",1
"149",1987,"Houston",1
"150",1987,"Georgia Tech",1
"151",1987,"Clemson",1
"152",1987,"Kentucky",1
"153",1987,"Tulsa",1
"154",1987,"Marist",1
"155",1987,"Northeastern",1
"156",1987,"Wichita St",1
"157",1987,"Ga Southern",1
"158",1987,"Southern Univ",1
"159",1987,"Arizona",1
"160",1987,"West Virginia",1
"161",1987,"New Orleans",2
"162",1987,"Xavier",2
"163",1987,"Auburn",2
"164",1987,"Michigan",2
"165",1987,"TCU",2
"166",1987,"Austin Peay",2
"167",1987,"Kansas St",2
"168",1987,"UCLA",2
"169",1987,"St John's",2
"170",1987,"Purdue",2
"171",1987,"Ohio St",2
"172",1987,"UTEP",2
"173",1987,"Missouri St",2
"174",1987,"Temple",2
"175",1987,"Pittsburgh",2
"176",1987,"WKU",2
"177",1987,"Kansas",3
"178",1987,"Notre Dame",3
"179",1987,"Alabama",3
"180",1987,"Florida",3
"181",1987,"Duke",3
"182",1987,"Oklahoma",3
"183",1987,"DePaul",3
"184",1987,"Wyoming",3
"185",1987,"Georgetown",4
"186",1987,"North Carolina",4
"187",1987,"LSU",4
"188",1987,"Iowa",4
"189",1987,"UNLV",5
"190",1987,"Providence",5
"191",1987,"Syracuse",6
"192",1987,"Indiana",6
"193",1988,"Bradley",1
"194",1988,"Charlotte",1
"195",1988,"Wichita St",1
"196",1988,"Boston Univ",1
"197",1988,"St John's",1
"198",1988,"La Salle",1
"199",1988,"Oregon St",1
"200",1988,"Wyoming",1
"201",1988,"Baylor",1
"202",1988,"Boise St",1
"203",1988,"North Texas",1
"204",1988,"Chattanooga",1
"205",1988,"F Dickinson",1
"206",1988,"Missouri",1
"207",1988,"Notre Dame",1
"208",1988,"NC A&T",1
"209",1988,"Cornell",1
"210",1988,"LSU",1
"211",1988,"Iowa St",1
"212",1988,"UT San Antonio",1
"213",1988,"Florida St",1
"214",1988,"Xavier",1
"215",1988,"Southern Univ",1
"216",1988,"Santa Barbara",1
"217",1988,"NC State",1
"218",1988,"E Michigan",1
"219",1988,"Indiana",1
"220",1988,"UTEP",1
"221",1988,"Lehigh",1
"222",1988,"Missouri St",1
"223",1988,"Utah St",1
"224",1988,"Arkansas",1
"225",1988,"SMU",2
"226",1988,"DePaul",2
"227",1988,"BYU",2
"228",1988,"Florida",2
"229",1988,"Loy Marymount",2
"230",1988,"Auburn",2
"231",1988,"Memphis",2
"232",1988,"Syracuse",2
"233",1988,"Seton Hall",2
"234",1988,"UNLV",2
"235",1988,"Murray St",2
"236",1988,"Maryland",2
"237",1988,"Georgia Tech",2
"238",1988,"Georgetown",2
"239",1988,"Pittsburgh",2
"240",1988,"Illinois",2
"241",1988,"Rhode Island",3
"242",1988,"Louisville",3
"243",1988,"Richmond",3
"244",1988,"Kentucky",3
"245",1988,"Iowa",3
"246",1988,"Vanderbilt",3
"247",1988,"Purdue",3
"248",1988,"Michigan",3
"249",1988,"Temple",4
"250",1988,"Villanova",4
"251",1988,"North Carolina",4
"252",1988,"Kansas St",4
"253",1988,"Duke",5
"254",1988,"Arizona",5
"255",1988,"Oklahoma",6
"256",1988,"Kansas",6
"257",1989,"Robert Morris",1
"258",1989,"Loy Marymount",1
"259",1989,"Pittsburgh",1
"260",1989,"St Mary's CA",1
"261",1989,"Memphis",1
"262",1989,"S Carolina St",1
"263",1989,"McNeese St",1
"264",1989,"La Salle",1
"265",1989,"Ark Little Rock",1
"266",1989,"Kansas St",1
"267",1989,"Florida St",1
"268",1989,"ETSU",1
"269",1989,"Stanford",1
"270",1989,"Idaho",1
"271",1989,"Providence",1
"272",1989,"Tennessee",1
"273",1989,"Florida",1
"274",1989,"Oregon St",1
"275",1989,"Princeton",1
"276",1989,"George Mason",1
"277",1989,"Rutgers",1
"278",1989,"Xavier",1
"279",1989,"Creighton",1
"280",1989,"South Carolina",1
"281",1989,"Southern Univ",1
"282",1989,"Vanderbilt",1
"283",1989,"Missouri St",1
"284",1989,"Alabama",1
"285",1989,"Bucknell",1
"286",1989,"Georgia Tech",1
"287",1989,"Iowa St",1
"288",1989,"LSU",1
"289",1989,"Clemson",2
"290",1989,"West Virginia",2
"291",1989,"Ball St",2
"292",1989,"Arkansas",2
"293",1989,"Siena",2
"294",1989,"Louisiana Tech",2
"295",1989,"DePaul",2
"296",1989,"MTSU",2
"297",1989,"Notre Dame",2
"298",1989,"UTEP",2
"299",1989,"South Alabama",2
"300",1989,"Texas",2
"301",1989,"Iowa",2
"302",1989,"UCLA",2
"303",1989,"Evansville",2
"304",1989,"Colorado St",2
"305",1989,"North Carolina",3
"306",1989,"Indiana",3
"307",1989,"Arizona",3
"308",1989,"Oklahoma",3
"309",1989,"Minnesota",3
"310",1989,"NC State",3
"311",1989,"Louisville",3
"312",1989,"Missouri",3
"313",1989,"Virginia",4
"314",1989,"UNLV",4
"315",1989,"Georgetown",4
"316",1989,"Syracuse",4
"317",1989,"Illinois",5
"318",1989,"Duke",5
"319",1989,"Seton Hall",6
"320",1989,"Michigan",6
"321",1990,"Princeton",1
"322",1990,"Oregon St",1
"323",1990,"Indiana",1
"324",1990,"BYU",1
"325",1990,"Boston Univ",1
"326",1990,"Illinois",1
"327",1990,"ETSU",1
"328",1990,"Southern Miss",1
"329",1990,"Idaho",1
"330",1990,"Villanova",1
"331",1990,"Murray St",1
"332",1990,"Missouri St",1
"333",1990,"Providence",1
"334",1990,"Towson",1
"335",1990,"Houston",1
"336",1990,"Ark Little Rock",1
"337",1990,"Colorado St",1
"338",1990,"South Florida",1
"339",1990,"Richmond",1
"340",1990,"TX Southern",1
"341",1990,"Robert Morris",1
"342",1990,"New Mexico St",1
"343",1990,"Illinois St",1
"344",1990,"UTEP",1
"345",1990,"Missouri",1
"346",1990,"ULM",1
"347",1990,"Temple",1
"348",1990,"Coppin St",1
"349",1990,"Georgia",1
"350",1990,"UAB",1
"351",1990,"Notre Dame",1
"352",1990,"Kansas St",1
"353",1990,"Dayton",2
"354",1990,"Louisville",2
"355",1990,"La Salle",2
"356",1990,"California",2
"357",1990,"LSU",2
"358",1990,"Santa Barbara",2
"359",1990,"Oklahoma",2
"360",1990,"Ohio St",2
"361",1990,"Arizona",2
"362",1990,"St John's",2
"363",1990,"Michigan",2
"364",1990,"Northern Iowa",2
"365",1990,"Virginia",2
"366",1990,"Purdue",2
"367",1990,"Kansas",2
"368",1990,"Georgetown",2
"369",1990,"North Carolina",3
"370",1990,"Clemson",3
"371",1990,"UCLA",3
"372",1990,"Xavier",3
"373",1990,"Michigan St",3
"374",1990,"Alabama",3
"375",1990,"Syracuse",3
"376",1990,"Ball St",3
"377",1990,"Texas",4
"378",1990,"Connecticut",4
"379",1990,"Minnesota",4
"380",1990,"Loy Marymount",4
"381",1990,"Arkansas",5
"382",1990,"Georgia Tech",5
"383",1990,"Duke",6
"384",1990,"UNLV",6
"385",1991,"St Francis PA",1
"386",1991,"Virginia",1
"387",1991,"LSU",1
"388",1991,"New Mexico St",1
"389",1991,"ULM",1
"390",1991,"USC",1
"391",1991,"Coastal Car",1
"392",1991,"ETSU",1
"393",1991,"New Orleans",1
"394",1991,"Southern Miss",1
"395",1991,"New Mexico",1
"396",1991,"Georgia",1
"397",1991,"Syracuse",1
"398",1991,"Pepperdine",1
"399",1991,"Purdue",1
"400",1991,"Nebraska",1
"401",1991,"Murray St",1
"402",1991,"Rutgers",1
"403",1991,"Georgia St",1
"404",1991,"Mississippi St",1
"405",1991,"Vanderbilt",1
"406",1991,"DePaul",1
"407",1991,"WI Green Bay",1
"408",1991,"Northeastern",1
"409",1991,"Towson",1
"410",1991,"UCLA",1
"411",1991,"N Illinois",1
"412",1991,"St Peter's",1
"413",1991,"Montana",1
"414",1991,"South Alabama",1
"415",1991,"Princeton",1
"416",1991,"Louisiana Tech",1
"417",1991,"BYU",2
"418",1991,"Xavier",2
"419",1991,"Iowa",2
"420",1991,"Florida St",2
"421",1991,"Pittsburgh",2
"422",1991,"NC State",2
"423",1991,"Creighton",2
"424",1991,"Richmond",2
"425",1991,"Wake Forest",2
"426",1991,"Arizona St",2
"427",1991,"Penn St",2
"428",1991,"Villanova",2
"429",1991,"Georgia Tech",2
"430",1991,"Texas",2
"431",1991,"Georgetown",2
"432",1991,"Michigan St",2
"433",1991,"Alabama",3
"434",1991,"Indiana",3
"435",1991,"Arizona",3
"436",1991,"Utah",3
