"","avgScore10","avgFG10","avgTP10","avgFT10","avgRB10","avgASS10","avgTO10","avgSTL10","avgBL10","avgPF10","GP10"
"15",64.40625,21.59375,4.09375,17.125,29.0625,12.53125,16.9375,6.84375,3.4375,22.78125,2
"24",76.7096774193548,27.1612903225806,7.03225806451613,15.3548387096774,40.9677419354839,13.6451612903226,14,6.38709677419355,6.93548387096774,18.0645161290323,4
"39",70.09375,22.71875,6.75,17.90625,52.625,12.8125,12.40625,6.84375,2.46875,18.5,6
"40",82.6060606060606,28.3939393939394,8.12121212121212,17.6969696969697,48.6666666666667,15.7878787878788,11.3030303030303,8.54545454545454,3.48484848484848,17.3636363636364,2
"43",77.969696969697,27.9090909090909,6.57575757575758,15.5757575757576,40.7575757575758,14.4545454545455,12,5.66666666666667,2.48484848484848,17,2
"55",73.2903225806452,26.5483870967742,6.58064516129032,13.6129032258065,42.3870967741936,14.1612903225806,14.8387096774194,9.64516129032258,4.83870967741935,17.4838709677419,1
"65",75.1724137931034,26.7586206896552,9.79310344827586,11.8620689655172,31.6206896551724,16.2413793103448,12.2413793103448,7.13793103448276,3.62068965517241,18.2413793103448,3
"81",77.9705882352941,26.5,7.55882352941176,17.4117647058824,38.6176470588235,13.9411764705882,11.1176470588235,6.94117647058824,4.20588235294118,18.5294117647059,6
"90",69.030303030303,24.4848484848485,5.12121212121212,14.9393939393939,40.0909090909091,10.8787878787879,14.6666666666667,8.27272727272727,3.18181818181818,19.0909090909091,1
"96",71.6060606060606,25.9393939393939,5.84848484848485,13.8787878787879,28.3333333333333,14.0606060606061,12.1818181818182,7.15151515151515,2.72727272727273,14.4545454545455,1
"99",68.4838709677419,24.5806451612903,5.80645161290323,13.5161290322581,21.7741935483871,13.9032258064516,16.7741935483871,8.38709677419355,6.32258064516129,17.8387096774194,1
"107",73.2424242424242,26.4848484848485,6.18181818181818,14.0909090909091,44.2424242424242,15.4545454545455,13.7878787878788,7.03030303030303,4.72727272727273,16.9090909090909,1
"110",72.5151515151515,26.3030303030303,6,13.9090909090909,26.1818181818182,13.7575757575758,16.3333333333333,7.75757575757576,5.48484848484848,18.6666666666667,2
"111",77.5161290322581,27,5.54838709677419,17.9677419354839,52.6129032258064,13.5161290322581,13.0645161290323,6.45161290322581,4.09677419354839,18.0967741935484,2
"122",78.8181818181818,27.4848484848485,8.3030303030303,15.5454545454545,39.8787878787879,12.5454545454545,9.03030303030303,9.51515151515152,2.93939393939394,18.6060606060606,1
"142",81.7647058823529,28.5588235294118,7.26470588235294,17.3823529411765,57.4117647058824,17.1470588235294,12.9705882352941,8.41176470588235,6.41176470588235,18.2647058823529,2
"143",79.46875,26.25,6.71875,20.25,35.75,14.625,14.59375,7.46875,4.8125,22.46875,4
"146",79.2352941176471,28,5.97058823529412,17.2647058823529,56,14.7058823529412,14.5,7.26470588235294,7.23529411764706,16.2352941176471,4
"150",75.125,25.53125,6.65625,17.40625,38.15625,15.125,13,6.15625,2.53125,17.90625,1
"157",76.34375,26.5625,8.03125,15.1875,34.34375,15.5625,13.6875,7.78125,4.1875,20.125,1
"166",72.9393939393939,25.2727272727273,7.93939393939394,14.4545454545455,37.8181818181818,15.1515151515152,10.3030303030303,7.90909090909091,2.15151515151515,17.0606060606061,1
"168",79.2666666666667,29.1333333333333,5.86666666666667,15.1333333333333,42.3,16.3333333333333,11.8666666666667,8,4.63333333333333,16.8333333333333,2
"177",72.625,26.90625,4.78125,14.03125,42.71875,16.6875,14.03125,6.71875,3.09375,17.65625,5
"178",72.9117647058823,26.2647058823529,7.02941176470588,13.3529411764706,39.2647058823529,16.7352941176471,12.7352941176471,7.97058823529412,5.52941176470588,16.5,1
"181",77.5625,27.375,7.6875,15.125,35.5625,15.25,13,10.9375,4.65625,19.28125,2
"185",69.448275862069,24.5862068965517,6.51724137931035,13.7586206896552,41.5172413793103,11.8965517241379,12.1379310344828,6.37931034482759,3.24137931034483,18.2758620689655,1
"188",76.75,26.1666666666667,5.61111111111111,18.8055555555556,53.5,12.7222222222222,13.5277777777778,6.58333333333333,4.02777777777778,21.1111111111111,1
"193",76.09375,26.78125,6.28125,16.25,41.28125,15.1875,14.5,9.28125,5.40625,17.46875,2
"207",76.6363636363636,25.4242424242424,7.96969696969697,17.8181818181818,57.5454545454545,14.4242424242424,11.2121212121212,6.75757575757576,3.51515151515152,17.6666666666667,2
"208",78.5,27.15625,8.53125,15.65625,39.59375,14.5,12.90625,6,3.28125,17.4375,1
"217",73.4666666666667,24.1333333333333,5.26666666666667,19.9333333333333,47.5,11.9666666666667,14.7666666666667,4.43333333333333,3,18.1,1
"220",63.3125,21.5,6.59375,13.71875,38.71875,10.65625,10.53125,5.5,2,15.96875,3
"223",76.0294117647059,26.3823529411765,7.5,15.7647058823529,36.2941176470588,16.8529411764706,10.3529411764706,5.52941176470588,3,15.1764705882353,1
"224",75.21875,26.15625,5.8125,17.09375,49.4375,12.875,13.71875,6.40625,4.9375,17.9375,1
"225",73.4411764705882,24.5,7.23529411764706,17.2058823529412,40.1176470588235,14.0882352941176,12.7058823529412,7.52941176470588,2.61764705882353,18.8529411764706,2
"226",74.2352941176471,26.8235294117647,7.32352941176471,13.2647058823529,44.0294117647059,14.7058823529412,11.3235294117647,7.14705882352941,4.08823529411765,15.2941176470588,3
"229",74.3125,25.53125,8.375,14.875,30.71875,12.53125,12.71875,6.4375,2.59375,20.125,1
"230",67.5294117647059,25.8529411764706,4.61764705882353,11.2058823529412,49.2352941176471,15.5,12.7941176470588,7.82352941176471,2.94117647058824,15.6764705882353,2
"238",68.09375,23.5625,5.3125,15.65625,47.75,15.8125,12.40625,5.09375,4.1875,17.1875,2
"245",71.09375,24.8125,5.375,16.09375,55.53125,14.03125,10.875,6.90625,4.46875,18.6875,3
"250",69.2941176470588,24.7941176470588,7.05882352941176,12.6470588235294,46.1470588235294,12.7058823529412,11.2647058823529,8.32352941176471,4.58823529411765,17.9705882352941,1
"252",68.5,23.3235294117647,5.64705882352941,16.2058823529412,10.1176470588235,12.5,14.6764705882353,7.55882352941176,2.29411764705882,21.3529411764706,1
"258",79.8928571428571,27.2857142857143,8.96428571428571,16.3571428571429,52.1785714285714,19.6428571428571,13.4285714285714,7.53571428571429,2.25,20.5714285714286,1
"261",69.8064516129032,25.4193548387097,5.35483870967742,13.6129032258065,49.2258064516129,13.2258064516129,13.5483870967742,7.38709677419355,4.64516129032258,16.6774193548387,1
"264",67.5714285714286,22.3214285714286,6.85714285714286,16.0714285714286,43.2142857142857,13.6428571428571,15.5,6.57142857142857,3.14285714285714,18.8571428571429,1
"273",75.4545454545455,27.4848484848485,4.75757575757576,15.7272727272727,56.2424242424242,14.4545454545455,12.2424242424242,8.81818181818182,3.57575757575758,13.7878787878788,1
