"Season","Daynum","Wteam","Wscore","Wloc","Numot","Wfgm","Wfga","Wfgm3","Wfga3","Wftm","Wfta","Wor","Wdr","Wast","Wto","Wstl","Wblk","Wpf","win"
2003,134,1421,92,"N",1,32,69,11,29,17,26,14,30,17,12,5,3,22,1
2003,136,1112,80,"N",0,31,66,7,23,11,14,11,36,22,16,10,7,8,1
2003,136,1113,84,"N",0,31,59,6,14,16,22,10,27,18,9,7,4,19,1
2003,136,1141,79,"N",0,29,53,3,7,18,25,11,20,15,18,13,1,19,1
2003,136,1143,76,"N",1,27,64,7,20,15,23,18,20,17,13,8,2,14,1
2003,136,1163,58,"N",0,17,52,4,14,20,27,12,29,8,14,3,8,16,1
2003,136,1181,67,"N",0,19,54,4,13,25,31,13,27,4,16,10,8,23,1
2003,136,1211,74,"N",0,20,47,6,14,28,37,8,28,12,12,2,2,15,1
2003,136,1228,65,"N",0,24,56,5,14,12,14,15,23,15,14,11,4,14,1
2003,136,1242,64,"N",0,28,51,2,6,6,11,7,20,13,11,8,4,17,1
2003,136,1266,72,"N",0,22,51,9,16,19,23,11,20,14,10,4,3,23,1
2003,136,1281,72,"N",0,28,52,5,13,11,18,9,32,7,23,4,6,19,1
2003,136,1323,70,"N",0,23,54,3,13,21,25,11,33,7,20,6,6,19,1
2003,136,1328,71,"N",0,24,52,10,18,13,24,11,24,16,14,8,3,12,1
2003,136,1390,77,"N",0,29,64,8,24,11,15,12,29,16,14,4,8,24,1
2003,136,1409,84,"N",0,33,57,8,12,10,13,8,26,18,12,6,1,11,1
2003,136,1458,81,"N",0,31,58,6,16,13,22,10,24,16,9,7,2,16,1
2003,137,1120,65,"N",1,25,57,7,18,8,13,14,24,11,15,4,5,16,1
2003,137,1139,47,"N",0,18,47,5,18,6,8,7,19,5,8,3,0,15,1
2003,137,1196,85,"N",0,32,61,13,28,8,14,9,31,24,10,6,3,15,1
2003,137,1231,67,"N",0,19,49,7,18,22,26,13,22,15,8,1,2,17,1
2003,137,1246,95,"N",0,40,65,10,20,5,11,10,25,22,13,7,4,17,1
2003,137,1257,86,"N",0,35,70,8,24,8,13,15,29,18,12,12,4,22,1
2003,137,1268,75,"N",0,27,54,10,19,11,15,8,27,17,13,3,3,20,1
2003,137,1277,79,"N",0,26,56,7,13,20,25,10,28,16,11,5,1,18,1
2003,137,1329,77,"N",0,27,50,7,20,16,28,10,15,15,11,12,0,17,1
2003,137,1338,87,"N",0,33,59,9,16,12,21,10,23,22,9,14,6,19,1
2003,137,1345,80,"N",0,27,52,9,16,17,19,8,25,7,19,9,1,18,1
2003,137,1393,76,"N",0,30,52,4,11,12,15,11,28,16,18,5,9,17,1
2003,137,1400,82,"N",0,31,62,6,16,14,20,19,28,15,14,6,2,16,1
2003,137,1428,60,"N",0,18,61,9,23,15,18,13,23,8,15,7,4,22,1
2003,137,1448,76,"N",0,29,69,6,23,12,20,19,29,13,19,8,9,19,1
2003,137,1462,71,"N",0,26,64,6,20,13,18,17,30,19,10,5,4,11,1
2003,138,1112,96,"N",2,34,74,7,24,21,29,18,29,18,9,7,4,20,1
